time_at_cal,major,coding_exp_words,coding_exp_scale,cal_fav,piercings,pets_and_sibs,diet,prof_label,study_place,olympics,season,mts_beach,coffee_tea,tech_relationships,climate,crypto,ai,covid,fire_alarm,election,hotdogs,horse_duck,is_artist,is_comp_sci,is_entrepreneur,is_humanist,is_nat_sci,is_other,is_soc_sci
I'm in my third year.,EECS,A good deal. I have several years of experience writing code.,10,Courses,0,1,I eat both plants and animals.,Computational Scientist,Moffit,Curling,Winter,In the mountains,Tea,2,10,7,7,0,0.1,0.2,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Applied Mathematics/Econ,Very little. I've just dipped my toe in.,3,"I love that Cal has so many opportunities for clubs, athletics, etc.",0,I have a brother and two dogs.,I eat both plants and animals.,Other,My favorite place to study on campus is my dorm.,Snowboarding,Summer,At the beach,Tea,6,4,7,6,0.052,.953.,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Applied Math,"A bit. I've used coding in a limited capacity, such as for a small part of a course",5,Campus,0,1 + 4,I eat both plants and animals.,Computational Scientist,Courtyard on evans 9th floor,Snowboarding,Winter,In the mountains,Tea,9,8,3,7,0.08,0.6,0.04,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,1,The people are wonderful.,0,2 older brothers.,I eat both plants and animals.,Entrepreneur,Doe Library.,Snowboarding,Summer,At the beach,Coffee,6,7,6,7,0.3,0.5,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Intended Math with a Teaching Concentration,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,My favorite thing about Cal is everybody that attends the school has a very unique backstory and everybody is brilliant in their own way. Everyone here is genuinely smart and deserves to have a great education and great future.,0,"1 sister, 1 dog",I eat both plants and animals.,Other,Blackwell Study Lounges or Moffitt Library,I am not excited to watch the Olympics.,Summer,At the beach,Tea,3,10,5,2,0.01,0.1,NA,Yes,Horse-sized duck,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,None.,1,Everyone is passionate about something unique!,0,0,I eat both plants and animals.,Artist,Area near Campanile,Snowboarding,Fall,At the beach,Coffee,7,8,2,3,0.15,0.65,0.02,Yes,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,Very little. I've just dipped my toe in.,8,All of the people I have met.,0,"1 sibling, brother",I eat both plants and animals.,Social Scientist,Moffit,Snowboarding,Summer,At the beach,Coffee,6,7,3,9,0.11,0.87,0.03,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,Economics,Very little. I've just dipped my toe in.,3,I love the environment around campus with all the local shops and restaurants.,0,1 sister and 2 dogs.,I eat both plants and animals.,Other,Doe library,Snowboarding,Winter,At the beach,I don't drink either,7,6,9,6,0.2,0.1,0.1,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Business,None.,1,The midnight scream during finals.,5+,"1 pet, 2 siblings",I eat both plants and animals.,Entrepreneur,"My room, but I haven't had to study for anything yet.",Snowboarding,Fall,At the beach,Coffee,6,7,3,4,0.05,0.35,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Business + econ,Some. I've had to write code for one or two classes and am comfortable with it.,8,Making friends at some really unexpected places,2,2 cats + 1 older brother,I eat both plants and animals.,Entrepreneur,Moffit,Snowboarding,Summer,In the mountains,Tea,1,6,4,9,0.3,1,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,I am undeclared but looking into business,None.,1,The campus is very pretty and the city around is a lot of fun,0,I have 3 pets and 1 sibling,I eat both plants and animals.,Entrepreneur,My dorm room,Snowboarding,Summer,At the beach,Coffee,5,5,4,5,0,0,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,economics,Very little. I've just dipped my toe in.,6,NA,0,0,I eat both plants and animals.,Entrepreneur,Wesley,I am not excited to watch the Olympics.,Fall,At the beach,Coffee,5,10,10,5,0.6,1,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Data Science,Some. I've had to write code for one or two classes and am comfortable with it.,7,My friends.,5+,1,I eat both plants and animals.,Computational Scientist,Main stacks,Snowboarding,Fall,At the beach,I don't drink either,5,7,5,7,0.6,0.85,0.02,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Genetics and Plant Biology,Some. I've had to write code for one or two classes and am comfortable with it.,7,Community,1,"1,5",I eat mostly plants.,Artist,CED Library,Bobsled/Luge/Skeleton,Summer,At the beach,Coffee,4,4,5,6,0.5,1,0.2,No,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,"Media Studies, minor Data Science",None.,1,"The beautiful landscape and surrounding area, rigorous academics.",5+,"4 pets, 2 siblings",I eat both plants and animals.,Artist,Moffitt Library,Bobsled/Luge/Skeleton,Spring,At the beach,Tea,6,8,4,8,0.04,0.08,NA,No,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,None.,1,"
The competitive and understanding atmosphere.",3,4,I eat both plants and animals.,Entrepreneur,Moffit,Snowboarding,Winter,In the mountains,Tea,1,10,5,5,0.1,NA,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I'm in my second year.,Environmental Science,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,NA,2,0,I eat both plants and animals.,Natural Scientist,Moffitt,Ice skating,Summer,At the beach,Tea,3,7,5,6,0.6,0.5,0.05,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,I intend to major in Economics,None.,1,"As my experiences at Cal are still very limited, in my first week I would say that I love the campus itself as it is very large and has some of the most beautiful buildings I have seen.",0,"I have 2 younger siblings, a brother and a sister along with a dog",I eat both plants and animals.,Entrepreneur,So far I personally like Moffitt library,Snowboarding,Spring,In the mountains,Coffee,1,4,3,8,0.01,0.5,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,None.,1,Campus,5+,I have an older sister and 2 dogs,I eat both plants and animals.,Artist,Moffitt library,Ice skating,Winter,At the beach,Coffee,6,4,5,9,0.3,0.7,NA,Yes,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Business,Some. I've had to write code for one or two classes and am comfortable with it.,6,The opportunity to take a wide variety of classes regardless of your intended major,4,1 sister,I eat both plants and animals.,Entrepreneur,Haas library,Snowboarding,Fall,At the beach,Coffee,7,5,7,4,0.2,0.5,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,Some. I've had to write code for one or two classes and am comfortable with it.,8,Campus,0,No pets + 3 siblings,I eat both plants and animals.,Entrepreneur,Haas Library,Snowboarding,Winter,At the beach,Coffee,5,8,6,8,0.5,1,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Computer Science,None.,1,The large campus and the many student groups who share similar experiences as me.,0,2,I eat both plants and animals.,Computational Scientist,Dorm,Speed skating,Spring,At the beach,I don't drink either,7,1,9,9,0.2,0.3,0.04,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,I am declared Psychology and intended double in Data Science.,Some. I've had to write code for one or two classes and am comfortable with it.,8,"I really like the overwhelming amount of opportunities. Sometimes it can be tough to handle all the options, but I think its better than struggling to find things worth joining, applying to, or participating/attending.",5+,"1 pet, 2 siblings",I eat both plants and animals.,Social Scientist,"Those silent, isolated cubbies in Main Stacks",Ice skating,Summer,At the beach,Coffee,8,7,5,4,0.4,0.85,0.04,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my third year.,intended,None.,1,community,0,1,I eat both plants and animals.,Artist,doe library,I am not excited to watch the Olympics.,Winter,In the mountains,Coffee,8,7,7,7,NA,NA,NA,Yes,Horse-sized duck,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics (intended),None.,2,People around me,0,1 sibling,I eat both plants and animals.,Entrepreneur,Mofitt Library,Snowboarding,Fall,At the beach,Tea,5,10,8,7,0,0.1,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,NA,"A bit. I've used coding in a limited capacity, such as for a small part of a course",5,NA,0,2,I eat both plants and animals.,Entrepreneur,the library,Snowboarding,Summer,At the beach,Tea,1,5,4,10,NA,NA,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,intended,None.,1,I like the resources we have for help,4,0 pets two siblings,I eat both plants and animals.,Social Scientist,Free Speech Cafe or MLK,Ice skating,Spring,In the mountains,Coffee,4,6,7,7,0.05,0.6,0.07,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Economics,None.,3,I love how it is a college town and how ambitious the students are.,5+,I have 1 pet and 3 siblings.,I eat both plants and animals.,Entrepreneur,My apartment study hall.,I am not excited to watch the Olympics.,Spring,At the beach,Tea,6,3,4,5,0.4,0.9,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,people,0,4,I eat both plants and animals.,Entrepreneur,library,Snowboarding,Winter,At the beach,Tea,5,4,7,8,0,1,0.3,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,MCB,None.,1,the diversity and relationships that can be made! (:,3,0 pet 2 siblings,I eat both plants and animals.,Natural Scientist,VLSB Library,Ice skating,Fall,In the mountains,Coffee,4,5,5,3,0.32,0.72,0.11,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Computer Science,Some. I've had to write code for one or two classes and am comfortable with it.,7,My favorite thing about Cal is the reputation it has for being a great academic institution,0,5,I eat both plants and animals.,Computational Scientist,Doe Library,I am not excited to watch the Olympics.,Winter,NA,Coffee,3,7,2,6,0.2,0.3,0.1,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Mathematics,None.,1,The variety amount of classes that I can choose.,0,I have three older siblings but no pets.,I eat both plants and animals.,NA,Moffit Library,Ice skating,Summer,In the mountains,Tea,6,4,5,7,0.3,0.5,0.3,No,Horse-sized duck,NA,NA,NA,NA,NA,NA,NA
This is my first semester!,Economics,Very little. I've just dipped my toe in.,2,The vibrant student community.,0,2,I eat both plants and animals.,Entrepreneur,Moffitt Library,Snowboarding,Summer,In the mountains,Tea,3,2,8,2,0.1,0.85,0.04,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,3,All students are passionated in achieving their goals,0,2,I eat both plants and animals.,Entrepreneur,Library,Ice skating,Summer,At the beach,Coffee,6,5,5,8,0.2,0.3,0.3,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Economics,None.,1,Famous professors,0,2,I eat both plants and animals.,Social Scientist,East Asian Library,Curling,Winter,At the beach,Coffee,5,9,8,7,0.7,0.9,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Econ and Applied Math,None.,1,the food,0,3 cats and one brother,I eat both plants and animals.,Other,the library,I am not excited to watch the Olympics.,Summer,At the beach,Coffee,8,5,2,4,0.99,0.91,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,"Applied Math, Economics","A bit. I've used coding in a limited capacity, such as for a small part of a course",3,"The environment.  The buildings, city, and activities all contribute to an inspiring environment.",0,0,I eat both plants and animals.,Natural Scientist,Math Library,Snowboarding,Winter,At the beach,Tea,8,7,2,7,0.05,0.45,0.04,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Applied Math,A good deal. I have several years of experience writing code.,8,The scholarly community.,0,3,I eat both plants and animals.,Computational Scientist,Dorm room,I am not excited to watch the Olympics.,Fall,In the mountains,Coffee,6,9,4,3,0.04,0.11,0.04,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,None.,1,Meeting people from around the world,0,0 + 1,I eat only plants.,Entrepreneur,My apartment,Snowboarding,Summer,At the beach,Tea,7,9,6,5,0.27,0.5,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,"Intended Molecular and Cell Biology, Business Administration",None.,1,The food.,2,I have a younger brother.,I eat both plants and animals.,Other,My dorm.,Snowboarding,Winter,In the mountains,Coffee,7,8,8,7,0.3,0.4,0.02,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,economics,Some. I've had to write code for one or two classes and am comfortable with it.,6,the diversity,0,2,I eat both plants and animals.,Humanist,outside,Ice skating,Spring,At the beach,I don't drink either,6,3,5,4,0.3,0.4,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
I'm in my third year.,Declared in Data Science but also intend to declare in economics,Some. I've had to write code for one or two classes and am comfortable with it.,7,Lots of opportunities and wide variety of classes/activites,2,0,I eat both plants and animals.,Computational Scientist,East Asian library,Ice skating,Fall,In the mountains,Tea,5,6,6,5,0.2,0.15,0.05,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,6,The school spirit that everyone has,0,1 pet dog and 1 sister,I eat both plants and animals.,Other,In the library,Snowboarding,Summer,At the beach,Tea,4,5,5,6,NA,0.3,0.04,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Econ/ Business,None.,1,The people I meet here.,0,Triplet (2 more siblings),I eat both plants and animals.,Other,Library,Alpine skiing,Summer,At the beach,I don't drink either,4,4,6,4,0.7,0.4,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Molecular Cell Biology + Business Administration (intendted),None.,1,People,0,2,I eat both plants and animals.,Other,Business Library,Bobsled/Luge/Skeleton,Summer,At the beach,Coffee,6,7,4,7,0.15,0.05,0.1,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,None.,1,Learning about how calculate 3d models,0,1,I eat both plants and animals.,Natural Scientist,Moffitt library,Speed skating,Winter,In the mountains,Tea,8,3,2,2,0.12,0.4,0.01,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,econ,Very little. I've just dipped my toe in.,2,I like the culture and the campus.,2,2 cats 1 brother,I eat both plants and animals.,Social Scientist,My room.,Ice skating,Summer,At the beach,Tea,3,9,2,4,0.21,0.7,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my third year.,applied math,NA,2,NA,0,NA,I eat both plants and animals.,Natural Scientist,NA,I am not excited to watch the Olympics.,Winter,NA,Coffee,NA,NA,NA,NA,NA,NA,NA,No,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,2,NA,0,2/2,I eat both plants and animals.,Social Scientist,NA,Ice skating,Fall,In the mountains,Coffee,3,4,4,6,0.001,0.1,0.1,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,MCB and Business,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,the friends i've made,5+,1 sibling + 1 pet,I eat both plants and animals.,Natural Scientist,law library,Ice skating,Spring,At the beach,Coffee,2,7,7,5,0.3,0.9,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Economics,None.,1,The environment,0,1 Brother and 3 dogs,I eat both plants and animals.,Entrepreneur,Library,Alpine skiing,Winter,In the mountains,Tea,5,8,8,7,0.5,0.7,0,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,economics and stat,None.,1,independency and rigourous,2,1 pet and 2 sisters,I eat both plants and animals.,Entrepreneur,long business library or my dorm,I am not excited to watch the Olympics.,Fall,In the mountains,I don't drink either,5,5,5,6,0.5,0.5,NA,No,Horse-sized duck,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,Very little. I've just dipped my toe in.,2,Legends Aquatics Complex,0,0,I eat both plants and animals.,Entrepreneur,My apartment,I am not excited to watch the Olympics.,Winter,In the mountains,Tea,5,10,10,7,0.01,0.005,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Intended Economics + Data Science,A good deal. I have several years of experience writing code.,7,I love how motivated everyone is to do big things and make an impact in the world.,0,1 younger sister,I eat both plants and animals.,Entrepreneur,Study Lounge in my dorm,Alpine skiing,Summer,At the beach,Coffee,7,2,7,2,0.33,0.75,0.13,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,psychology,None.,1,My favorite thing about Cal is the amount of resources available to help make university more manageable.,2,2 older brothers and 4 dogs,I eat mostly plants.,Social Scientist,The study room at my dorm.,Ice skating,Winter,In the mountains,Tea,8,3,5,6,NA,NA,0.05,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,Business Administration,None.,1,Oski!,5+,2 siblings,I eat both plants and animals.,Entrepreneur,Next to 4.0 Hill,Ice skating,Spring,In the mountains,I don't drink either,3,10,6,7,0.6,NA,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Statistics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,The buildings,0,8,I eat both plants and animals.,Computational Scientist,Haven't found it yet,I am not excited to watch the Olympics.,Winter,In the mountains,Coffee,4,7,7,10,0.34,0.34,0.025,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Statistics,Some. I've had to write code for one or two classes and am comfortable with it.,7,"I love that people in Cal are super passionate about what they do and how there are so many opportunities to excel in class, clubs, and more.",2,1,I eat only plants.,Computational Scientist,Life Sciences,Ice skating,Summer,At the beach,Tea,7,6,6,7,0.15,0.4,NA,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Electrical Engineering & Computer Science and Business Administration,Some. I've had to write code for one or two classes and am comfortable with it.,7,The culture,0,1,I eat both plants and animals.,Computational Scientist,Main Stacks,Snowboarding,Fall,In the mountains,Coffee,3,8,3,9,0.2,0.7,0.02,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Society & Environment,"A bit. I've used coding in a limited capacity, such as for a small part of a course",5,The people!,2,"2 pets, 1 sibling",I eat mostly plants.,Natural Scientist,VLSB Library,Ice skating,Spring,In the mountains,Tea,3,7,4,4,0.35,0.85,0.04,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,economics,None.,1,so many diverse groups of people,2,one sibling,I eat both plants and animals.,Entrepreneur,moffet,Speed skating,Winter,At the beach,Tea,6,5,4,6,0.1,0.9,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Business Admin,None.,1,the diversity of interests and opportunities,2,2 siblings no pets,I eat mostly plants.,Entrepreneur,clark kerr courtyards,Ice skating,Winter,In the mountains,Coffee,6,9,8,8,0.15,0.66,0.06,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Statistics,Very little. I've just dipped my toe in.,1,The people that I meet at the school and in my classes.,0,1 sister and 1 pet,I eat both plants and animals.,Computational Scientist,Werster Libary,Snowboarding,Fall,At the beach,Coffee,5,7,7,5,0.24,0.13,NA,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Business Admin & Data Science,Some. I've had to write code for one or two classes and am comfortable with it.,2,My favorite thing about Cal would have to be the people here.,0,"1 pet, 2 siblings",I eat both plants and animals.,Entrepreneur,East Asian,Snowboarding,Summer,At the beach,Coffee,5,7,5,5,0.3,0.5,0.005,No,Horse-sized duck,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Environmental Economics and Policy,Very little. I've just dipped my toe in.,3,My education,0,2,I eat both plants and animals.,Other,My room or library,Alpine skiing,Winter,At the beach,Coffee,7,5,4,5,0.2,0.05,0.1,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,None.,1,The community and friendliness of faculty and students.,2,5 siblings,I eat both plants and animals.,Entrepreneur,Doe library seems like a good place to study.,Curling,Fall,At the beach,Coffee,7,4,6,8,0.1,0.25,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Economics,Very little. I've just dipped my toe in.,3,Resources,0,2 pets + 2 siblings,I eat both plants and animals.,Other,My dorm,I am not excited to watch the Olympics.,Winter,At the beach,Tea,5,8,8,3,0.001,0.3,NA,Yes,Horse-sized duck,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Applied Mathematics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",6,The culture of hard work and academic curiosity.,0,1,I eat both plants and animals.,Computational Scientist,Library,I am not excited to watch the Olympics.,Fall,At the beach,Coffee,8,4,2,9,0.05,0.15,0.03,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,1,The campanile.,2,2 siblings,I eat both plants and animals.,Social Scientist,"I haven't studied on campus yet, only at home",I am not excited to watch the Olympics.,Winter,In the mountains,Coffee,8,5,3,9,0.1,0.7,0.25,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my third year.,Economics and psychology,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,The school spirit!,2,1 pet and 2 siblings,I eat both plants and animals.,Humanist,MLK,Ice skating,Summer,At the beach,Coffee,6,3,7,4,0.25,0.9,0.05,No,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
I'm in my second year.,"Economics, Political Science",None.,1,The financial aid.,2,3,I eat both plants and animals.,Social Scientist,Moffitt,Ice skating,Summer,At the beach,Coffee,5,5,5,5,0,1,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,"Undeclared, intending Economics","A bit. I've used coding in a limited capacity, such as for a small part of a course",4,I like how big Cal is - there are endless opportunities to meet other people and take interesting classes!,0,1,I eat both plants and animals.,Natural Scientist,"Moffitt Library, 4th floor",Bobsled/Luge/Skeleton,Spring,In the mountains,I don't drink either,7,7,8,5,0.2,1,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Film and Business,None.,NA,The other transfer students.,2,4,I eat both plants and animals.,Other,Moffit Library,Snowboarding,Summer,At the beach,Coffee,3,8,1,5,0.09,1,0.08,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Statistics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,Scenery of the school,1,"7 cats, 2 sisters",I eat both plants and animals.,Other,Don't really study on campus,Speed skating,Fall,At the beach,Tea,7,3,8,8,0.2,0.05,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Environmental Science,None.,1,honestly the green spaces/pockets on campus + getting inspired by all the awesome people around me,2,3 in total,I eat only plants.,Natural Scientist,"Moffit for the people, Main Stax for the productivity",Ice skating,Fall,At the beach,Tea,6,3,2,7,0.3,1,0.05,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,"Society and Environment, Environmental Economics and Policy",Very little. I've just dipped my toe in.,5,The resources it offers for building a career in environmentalism.,2,1 sibling + 1 pet,I eat only plants.,Humanist,My room probably,Ice skating,Summer,At the beach,Coffee,4,9,1,5,0.1,1,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,3,I love the diverse cultures and backgrounds of the students that attend Cal!,4,"2 pets, 1 sibling",I eat both plants and animals.,Other,My favorite place is Moffitt Library.,Ice skating,Summer,At the beach,Tea,5,7,6,6,0.35,0.7,0.07,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Undeclared,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,The coffee shops!,3,2 siblings and 2 pets,I eat both plants and animals.,Social Scientist,Haas library,Ice skating,Winter,At the beach,Coffee,2,5,1,6,0.2,0.8,0.3,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,economics,None.,1,"The number of activities available to me. So much hiking, golf, tennis, everything, and anything I could ever want to do.",0,5,I eat both plants and animals.,Other,My dorm,Alpine skiing,Spring,In the mountains,I don't drink either,7,7,8,6,0.25,0.9,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Statistics,Some. I've had to write code for one or two classes and am comfortable with it.,5,Pretty campus!,4,2,I eat both plants and animals.,Computational Scientist,Undecided yet,Snowboarding,Spring,At the beach,Coffee,4,7,8,4,0.2,0.8,0.08,No,Horse-sized duck,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Environmental economics & policy,None.,1,The student body,0,"1 sibling, 2 pets",I eat both plants and animals.,Social Scientist,"I don't have any yet, looking forward to studying at the libraries.",Alpine skiing,Spring,At the beach,Tea,4,6,5,2,0.2,0.3,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,environmental science,None.,1,the people and the interesting classes and professors,4,2 siblings & 1 pet,I eat both plants and animals.,Natural Scientist,mainstacks,Snowboarding,Fall,At the beach,Coffee,9,7,7,6,0.2,1,0.2,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
